,id,id_cidade,lat,lon
72,70274,5300108,-15.825813293457031,-47.90949698055492
73,70275,5300108,-15.827064895629883,-47.911367607116695
74,70276,5300108,-15.826286315917969,-47.90521894182478
75,70277,5300108,-15.826847012837728,-47.907911427815755
76,70278,5300108,-15.83010881918448,-47.910488269947194
77,70292,5300108,-15.82955652475357,-47.914628744125366
78,70293,5300108,-15.831134852241068,-47.91686585370232
79,70294,5300108,-15.832659609177533,-47.919632631189685
80,70295,5300108,-15.83436754014757,-47.92175843980577
81,70296,5300108,-15.83107022885923,-47.91247134738498
82,70297,5300108,-15.832767062717014,-47.91532940334744
83,70298,5300108,-15.83557687486921,-47.91828891209194
84,70299,5300108,-15.837765502929688,-47.921037673950195
85,70300,5300108,-15.798116250471635,-47.89118749445135
86,70301,5300108,-15.798564910888672,-47.88615798950195
87,70302,5300108,-15.797293222867525,-47.89123564500075
88,70303,5300108,-15.80070605644813,-47.894419743464546
89,70304,5300108,-15.796881318092346,-47.890225410461426
90,70305,5300108,-15.795731761238791,-47.89089081504128
91,70306,5300108,-15.792596340179443,-47.8919038772583
92,70307,5300108,-15.796435356140137,-47.89016246795654
93,70308,5300108,-15.796494483947754,-47.891544342041016
94,70309,5300108,-15.798161506652832,-47.88662338256836
95,70310,5300108,-15.798625946044922,-47.88549041748047
96,70311,5300108,-15.795633316040039,-47.8869514465332
97,70312,5300108,-15.794155279795328,-47.8918342590332
98,70313,5300108,-15.796800804138183,-47.88962860107422
99,70314,5300108,-15.796358585357666,-47.89002799987793
100,70315,5300108,-15.795479774475098,-47.89175224304199
101,70316,5300108,-15.793771028518677,-47.89355802536011
102,70317,5300108,-15.797338485717773,-47.89157485961914
103,70318,5300108,-15.797338485717773,-47.89157485961914
104,70322,5300108,-15.797230469553094,-47.90152780633224
105,70323,5300108,-15.780645370483398,-47.88962173461914
106,70324,5300108,-15.797338485717773,-47.89157485961914
107,70325,5300108,-15.796066284179688,-47.89054870605469
108,70326,5300108,-15.796290397644043,-47.891117095947266
109,70327,5300108,-15.79607105255127,-47.891841888427734
110,70328,5300108,-15.796290397644043,-47.891117095947266
111,70329,5300108,-15.797338485717773,-47.89157485961914
112,70330,5300108,-15.801762651514125,-47.89171402542679
113,70331,5300108,-15.803850750128428,-47.89746061960856
114,70332,5300108,-15.797233581542969,-47.89400100708008
115,70333,5300108,-15.797338485717773,-47.89157485961914
116,70334,5300108,-15.805267333984375,-47.89396286010742
117,70335,5300108,-15.80069669087728,-47.8891970316569
118,70336,5300108,-15.804580337122866,-47.89326236122533
119,70337,5300108,-15.80666592541863,-47.89655550788431
120,70338,5300108,-15.800684452056885,-47.89353388006037
121,70340,5300108,-15.804261987859553,-47.902962077747695
122,70342,5300108,-15.806966613320743,-47.89331705429975
123,70343,5300108,-15.80722918510437,-47.895247268676755
124,70344,5300108,-15.812812075895422,-47.89893543019014
125,70345,5300108,-15.81363042195638,-47.899529774983726
126,70346,5300108,-15.814966466691759,-47.902024798923065
127,70347,5300108,-15.816369771957397,-47.903879737854005
128,70350,5300108,-15.807409385840097,-47.90174102783203
129,70351,5300108,-15.811802758110893,-47.90661892361111
130,70352,5300108,-15.808422406514486,-47.89814715915256
131,70353,5300108,-15.810851153205423,-47.90084547155044
132,70354,5300108,-15.812063641018337,-47.90270105997721
133,70355,5300108,-15.815714073181152,-47.9061996459961
134,70360,5300108,-15.814407444000244,-47.91049980163575
135,70361,5300108,-15.818076817494518,-47.915820283709834
136,70362,5300108,-15.815761619144016,-47.90749846564399
137,70363,5300108,-15.817744625939262,-47.91081407335069
138,70364,5300108,-15.820552402072483,-47.91358608669705
139,70365,5300108,-15.821573594037224,-47.91581344604492
140,70372,5300108,-15.818833264437588,-47.9055307561701
141,70373,5300108,-15.819920116000706,-47.90803443060981
142,70374,5300108,-15.821576847749597,-47.91105988446404
143,70375,5300108,-15.824461184049907,-47.91442027844881
144,70376,5300108,-15.826447486877441,-47.91700183644014
145,70377,5300108,-15.828187346458435,-47.91833519935608
146,70380,5300108,-15.822133008984553,-47.921552962151125
147,70381,5300108,-15.826455768785978,-47.926742352937396
148,70382,5300108,-15.82373121049669,-47.91865645514594
149,70383,5300108,-15.82664620248895,-47.92154472752621
150,70384,5300108,-15.827951484256321,-47.92334111531576
151,70385,5300108,-15.829954932717715,-47.92219363941866
